Property,Unit_Number,Unit_Type,Square_Feet,Rent,Date
Racquet Club,101,600021f1,1047, $	-00 ,10/8/13
Racquet Club,102,600021f1,1047, $	950.00 ,10/8/13
Racquet Club,103,600021f1,1047, $	780.00 ,10/8/13
Racquet Club,104,600021f1,1047, $	865.00 ,10/8/13
Racquet Club,105,600021f1,1047, $	860.00 ,10/8/13
Racquet Club,106,600021f1,1047, $	810.00 ,10/8/13
Racquet Club,107,600021f1,1047, $	840.00 ,10/8/13
Racquet Club,108,600021f1,1047, $	835.00 ,10/8/13
Racquet Club,109,600021f1,1047, $	770.00 ,10/8/13
Racquet Club,110,600021f1,1047, $	765.00 ,10/8/13
Racquet Club,111,600021f1,1047, $	825.00 ,10/8/13
Racquet Club,112,600021f1,1047, $	765.00 ,10/8/13
Racquet Club,201,600011f1,700, $	620.00 ,10/8/13
Racquet Club,202,600011f1,700, $	630.00 ,10/8/13
Racquet Club,203,600011f1,700, $	700.00 ,10/8/13
Racquet Club,204,600011f1,700, $	680.00 ,10/8/13
Racquet Club,205,600011f1,700, $	675.00 ,10/8/13
Racquet Club,206,600011f1,700, $	655.00 ,10/8/13
Racquet Club,207,600011f1,700, $	680.00 ,10/8/13
Racquet Club,208,600011f1,700, $	630.00 ,10/8/13
Racquet Club,209,600011f1,700, $	650.00 ,10/8/13
Racquet Club,210,600011f1,700, $	740.00 ,10/8/13
Racquet Club,211,600011f1,700, $	625.00 ,10/8/13
Racquet Club,212,600011f1,700, $	705.00 ,10/8/13
Racquet Club,213,600011f1,700, $	615.00 ,10/8/13
Racquet Club,214,600011f1,700, $	695.00 ,10/8/13
Racquet Club,215,600011f1,700, $	745.00 ,10/8/13
Racquet Club,216,600011f1,700, $	635.00 ,10/8/13
Racquet Club,217,600011f1,700, $	665.00 ,10/8/13
Racquet Club,218,600011f1,700, $	715.00 ,10/8/13
Racquet Club,219,600011f1,700, $	880.00 ,10/8/13
Racquet Club,220,600011f1,700, $	720.00 ,10/8/13
Racquet Club,221,600011f1,700, $	650.00 ,10/8/13
Racquet Club,222,600011f1,700, $	700.00 ,10/8/13
Racquet Club,223,600011f1,700, $	625.00 ,10/8/13
Racquet Club,224,600011f1,700, $	625.00 ,10/8/13
Racquet Club,301,600022f1,1027, $	780.00 ,10/8/13
Racquet Club,302,600022f1,1027, $	855.00 ,10/8/13
Racquet Club,303,600022f1,1027, $	770.00 ,10/8/13
Racquet Club,304,600022f1,1027, $	765.00 ,10/8/13
Racquet Club,305,600022f1,1027," $	1,075.00 ",10/8/13
Racquet Club,306,600022f1,1027, $	740.00 ,10/8/13
Racquet Club,307,600022f1,1027, $	800.00 ,10/8/13
Racquet Club,308,600022f1,1027, $	822.00 ,10/8/13
Racquet Club,309,600022f1,1027, $	885.00 ,10/8/13
Racquet Club,310,600022f1,1027, $	775.00 ,10/8/13
Racquet Club,311,600022f1,1027, $	890.00 ,10/8/13
Racquet Club,312,600022f1,1027, $	880.00 ,10/8/13
Racquet Club,313,600022f1,1027, $	855.00 ,10/8/13
Racquet Club,314,600022f1,1027, $	785.00 ,10/8/13
Racquet Club,315,600022f1,1027, $	795.00 ,10/8/13
Racquet Club,316,600022f1,1027, $	835.00 ,10/8/13
Racquet Club,317,600022f1,1027, $	780.00 ,10/8/13
Racquet Club,318,600022f1,1027, $	845.00 ,10/8/13
Racquet Club,319,600022f1,1027, $	775.00 ,10/8/13
Racquet Club,320,600022f1,1027, $	830.00 ,10/8/13
Racquet Club,321,600022f1,1027, $	855.00 ,10/8/13
Racquet Club,322,600022f1,1027, $	870.00 ,10/8/13
Racquet Club,323,600022f1,1027," $	1,080.00 ",10/8/13
Racquet Club,324,600022f1,1027, $	875.00 ,10/8/13
Racquet Club,401,600011f1,700, $	745.00 ,10/8/13
Racquet Club,402,600011f1,700, $	650.00 ,10/8/13
Racquet Club,403,600011f1,700, $	621.00 ,10/8/13
Racquet Club,404,600011f1,700, $	655.00 ,10/8/13
Racquet Club,405,600011f1,700, $	685.00 ,10/8/13
Racquet Club,406,600011f1,700, $	670.00 ,10/8/13
Racquet Club,407,600011f1,700, $	705.00 ,10/8/13
Racquet Club,408,600011f1,700, $	685.00 ,10/8/13
Racquet Club,409,600011f1,700, $	705.00 ,10/8/13
Racquet Club,410,600011f1,700, $	715.00 ,10/8/13
Racquet Club,411,600011f1,700, $	-00 ,10/8/13
Racquet Club,412,600011f1,700, $	700.00 ,10/8/13
Racquet Club,413,600011f1,700, $	705.00 ,10/8/13
Racquet Club,414,600011f1,700, $	630.00 ,10/8/13
Racquet Club,415,600011f1,700, $	730.00 ,10/8/13
Racquet Club,416,600011f1,700, $	655.00 ,10/8/13
Racquet Club,417,600011f1,700, $	690.00 ,10/8/13
Racquet Club,418,600011f1,700, $	735.00 ,10/8/13
Racquet Club,419,600011f1,700, $	705.00 ,10/8/13
Racquet Club,420,600011f1,700, $	660.00 ,10/8/13
Racquet Club,421,600011f1,700, $	670.00 ,10/8/13
