Property,Unit,ComponentRehabDate,FloorAppliRehabDate,blank
Park Baldwin,161,4/30/13,4/30/13,
Park Baldwin,33,5/7/13,5/7/13,
Park Baldwin,163,5/7/13,5/7/13,
Park Baldwin,111,5/7/13,5/7/13,
Park Baldwin,97,5/7/13,5/7/13,
Park Baldwin,384,6/8/13,6/8/13,
Park Baldwin,404,6/8/13,6/8/13,
Park Baldwin,326,6/8/13,6/8/13,
Park Baldwin,78,6/8/13,6/8/13,
Park Baldwin,234,6/18/13,6/18/13,
Park Baldwin,140,6/18/13,6/18/13,
Park Baldwin,160,6/18/13,6/18/13,
Park Baldwin,325,6/19/13,6/19/13,
Park Baldwin,120,6/24/13,6/24/13,
Park Baldwin,15,6/27/13,6/27/13,
Park Baldwin,154,6/27/13,6/27/13,
Park Baldwin,331,6/27/13,6/27/13,
Park Baldwin,402,7/2/13,7/2/13,
Park Baldwin,158,7/3/13,7/3/13,
Park Baldwin,157,7/11/13,7/11/13,
Park Baldwin,18,7/12/13,7/12/13,
Park Baldwin,239,7/12/13,7/12/13,
Park Baldwin,51,7/12/13,7/12/13,
Park Baldwin,202,7/12/13,7/12/13,
Park Baldwin,409,7/24/13,7/24/13,
Park Baldwin,13,7/25/13,7/25/13,
Park Baldwin,14,7/26/13,7/26/13,
Park Baldwin,373,7/26/13,7/26/13,
Park Baldwin,374,7/26/13,7/26/13,
Park Baldwin,168,8/1/13,8/1/13,
Park Baldwin,171,8/1/13,8/1/13,
Park Baldwin,153,8/1/13,8/1/13,
Park Baldwin,265,8/1/13,8/1/13,
Park Baldwin,21,8/1/13,8/1/13,
Park Baldwin,23,8/9/13,8/9/13,
Park Baldwin,126,8/9/13,8/9/13,
Park Baldwin,406,8/16/13,8/16/13,
Park Baldwin,353,8/20/13,8/20/13,
Park Baldwin,53,8/21/13,8/21/13,
Park Baldwin,405,8/21/13,8/21/13,
Park Baldwin,233,8/23/13,8/23/13,
Park Baldwin,274,8/23/13,8/23/13,
Park Baldwin,415,8/30/13,8/30/13,
Park Baldwin,136,8/30/13,8/30/13,
Park Baldwin,133,8/30/13,8/30/13,
Park Baldwin,104,8/30/13,8/30/13,
Park Baldwin,338,8/30/13,8/30/13,
Park Baldwin,296,9/4/13,9/4/13,
Park Baldwin,43,9/6/13,9/6/13,
Park Baldwin,286,9/6/13,9/6/13,
Park Baldwin,410,9/6/13,9/6/13,
Park Baldwin,254,9/9/13,9/9/13,
Park Baldwin,223,9/9/13,9/9/13,
Park Baldwin,385,9/13/13,9/13/13,
Park Baldwin,413,9/13/13,9/13/13,
Park Baldwin,411,9/16/13,9/16/13,
Park Baldwin,412,9/17/13,9/17/13,
Park Baldwin,41,9/18/13,9/18/13,
Park Baldwin,380,9/18/13,9/18/13,
Park Baldwin,28,9/18/13,9/18/13,
Park Baldwin,279,9/19/13,9/19/13,
Park Baldwin,277,9/19/13,9/19/13,
Park Baldwin,278,9/19/13,9/19/13,
Park Baldwin,50,9/20/13,9/20/13,
Park Baldwin,186,9/20/13,9/20/13,
Park Baldwin,188,9/20/13,9/20/13,
Park Baldwin,64,9/20/13,9/20/13,
Park Baldwin,66,9/20/13,9/20/13,
Park Baldwin,68,9/20/13,9/20/13,
Park Baldwin,156,9/25/13,9/25/13,
Park Baldwin,181,9/25/13,9/25/13,
Park Baldwin,430,9/26/13,9/26/13,
Park Baldwin,62,9/27/13,9/27/13,
Park Baldwin,218,10/1/13,10/1/13,
Park Baldwin,418,10/2/13,10/2/13,
